From_Currency_Code,From_Currency_Name,To_Currency_Code,To_Currency_Name,Exchange_Rate,Last_Refreshed,Time_Zone,Bid_Price,Ask_Price,EMA_Short,EMA_Long,MACD,MACD_Signal
BTC,Bitcoin,EUR,Euro,20322.29095000,2020-12-26 02:50:02,UTC,20322.29095000,20322.29913500,20338.210795931616,20281.547820123247,56.66297580836908,55.15301727870286
BTC,Bitcoin,EUR,Euro,20316.97888500,2020-12-26 02:55:02,UTC,20316.97888500,20316.98707000,20335.761588865214,20284.565829743748,51.195759121466835,54.36156564725566
BTC,Bitcoin,EUR,Euro,20330.12399500,2020-12-26 03:00:01,UTC,20330.11581000,20330.12399500,20332.87194211672,20286.966796799767,45.90514531695226,52.670281581194985
BTC,Bitcoin,EUR,Euro,20321.85714500,2020-12-26 03:05:03,UTC,20321.85714500,20321.86533000,20332.44918102184,20290.163626296082,42.28555472575681,50.59333621010735
BTC,Bitcoin,EUR,Euro,20354.86725000,2020-12-26 03:10:02,UTC,20354.85906500,20354.86725000,20330.819637018478,20292.511294348224,38.308342670254206,48.136337502136726
BTC,Bitcoin,EUR,Euro,20362.16827000,2020-12-26 03:15:03,UTC,20362.16827000,20362.17645500,20334.519269784865,20297.13025402613,37.389015758733876,45.98687315345616
BTC,Bitcoin,EUR,Euro,20402.92957000,2020-12-26 03:20:01,UTC,20402.92957000,20402.93775500,20338.772962125655,20301.94788483901,36.825077286644955,44.154513980093924
BTC,Bitcoin,EUR,Euro,20436.17704000,2020-12-26 03:25:03,UTC,20436.17704000,20436.18522500,20348.64320949094,20309.42800966575,39.21519982519021,43.166651149113186
BTC,Bitcoin,EUR,Euro,20368.46253500,2020-12-26 03:30:02,UTC,20368.45435000,20368.46253500,20362.10995264618,20318.816826727547,43.29312591863345,43.191946103017244
BTC,Bitcoin,EUR,Euro,20419.26683000,2020-12-26 03:35:03,UTC,20419.25864500,20419.26683000,20363.087273008307,20322.49428659958,40.592986408726574,42.67215416415911
BTC,Bitcoin,EUR,Euro,20421.35400500,2020-12-26 03:40:01,UTC,20421.34582000,20421.35400500,20371.730281776257,20329.66262314776,42.067658628497156,42.55125505702672
BTC,Bitcoin,EUR,Euro,20416.25475000,2020-12-26 03:45:02,UTC,20416.24656500,20416.25475000,20379.364700733757,20336.454577359036,42.91012337472057,42.62302872056549
BTC,Bitcoin,EUR,Euro,20395.83317500,2020-12-26 03:50:03,UTC,20397.56839500,20397.57658000,20385.04009292856,20342.365701258368,42.67439167019256,42.63330131049091
BTC,Bitcoin,EUR,Euro,20371.03262500,2020-12-26 03:55:02,UTC,20371.02444000,20371.03262500,20386.700567093394,20346.32625486886,40.37431222453233,42.18150349329919
BTC,Bitcoin,EUR,Euro,20388.67130000,2020-12-26 04:00:01,UTC,20388.66311500,20388.67130000,20384.290114463638,20348.156356360058,36.133758103580476,40.97195441535545
BTC,Bitcoin,EUR,Euro,20318.04293500,2020-12-26 04:05:03,UTC,20318.04293500,20318.05112000,20384.964143007695,20351.15746329635,33.80667971134608,39.538899474553574
BTC,Bitcoin,EUR,Euro,20324.91015000,2020-12-26 04:10:02,UTC,20324.91015000,20324.91833500,20374.66857254497,20348.7045352744,25.96403727057259,36.82392703375738
BTC,Bitcoin,EUR,Euro,20275.57097000,2020-12-26 04:20:01,UTC,20275.53823000,20275.54641500,20367.013430614978,20346.941988217037,20.0714423979407,33.473430106594044
BTC,Bitcoin,EUR,Euro,20311.42945500,2020-12-26 04:25:02,UTC,20311.42127000,20311.42945500,20352.945359751135,20341.655246126888,11.29011362424717,29.036766810124668
BTC,Bitcoin,EUR,Euro,20337.54779000,2020-12-26 04:30:03,UTC,20337.53960500,20337.54779000,20346.55829748173,20339.41629863601,7.141998845720082,24.65781321724375
BTC,Bitcoin,EUR,Euro,20355.95585500,2020-12-26 04:35:03,UTC,20355.95585500,20355.96404000,20345.172065561463,20339.2778905889,5.894174972563633,20.905085568307726
BTC,Bitcoin,EUR,Euro,20327.45568500,2020-12-26 04:40:02,UTC,20327.44750000,20327.45568500,20346.83111009047,20340.51329536009,6.317814730376995,17.987631400721583
BTC,Bitcoin,EUR,Euro,20369.30559000,2020-12-26 04:45:03,UTC,20369.30559000,20369.55114000,20343.850275461165,20339.546064963048,4.3042104981177545,15.250947220200818
