From_Currency_Code,From_Currency_Name,To_Currency_Code,To_Currency_Name,Exchange_Rate,Last_Refreshed,Time_Zone,Bid_Price,Ask_Price
BTC,Bitcoin,EUR,Euro,18966.44142600,2020-12-21 22:20:03,UTC,18966.44142600,18966.44959200
BTC,Bitcoin,EUR,Euro,18888.19774400,2020-12-21 22:25:04,UTC,18888.19774400,18888.20590800
BTC,Bitcoin,EUR,Euro,18881.92432600,2020-12-21 22:30:02,UTC,18881.75281900,18881.76098600
BTC,Bitcoin,EUR,Euro,18912.99697900,2020-12-21 22:35:03,UTC,18912.99697900,18913.00515000
BTC,Bitcoin,EUR,Euro,18908.71208600,2020-12-21 22:40:03,UTC,18908.70391900,18908.71208600
BTC,Bitcoin,EUR,Euro,18907.51087000,2020-12-21 22:45:04,UTC,18907.51087000,18907.51903500
BTC,Bitcoin,EUR,Euro,18903.43360500,2020-12-21 22:50:01,UTC,18903.42543600,18903.43360500
BTC,Bitcoin,EUR,Euro,18912.10552000,2020-12-21 22:55:03,UTC,18912.10552000,18912.11368800
BTC,Bitcoin,EUR,Euro,18934.65047800,2020-12-21 23:00:03,UTC,18935.54068100,18935.54884800
BTC,Bitcoin,EUR,Euro,18910.14000000,2020-12-21 23:05:01,UTC,18910.14000000,18911.66685500
BTC,Bitcoin,EUR,Euro,18902.44040500,2020-12-21 23:10:01,UTC,18902.44040500,18902.44857000
BTC,Bitcoin,EUR,Euro,18832.36440500,2020-12-21 23:15:03,UTC,18832.36440500,18832.37256600
BTC,Bitcoin,EUR,Euro,18832.18260000,2020-12-21 23:20:07,UTC,18832.17443800,18832.18260000
BTC,Bitcoin,EUR,Euro,18842.70341800,2020-12-21 23:25:04,UTC,18842.69525600,18842.70341800
BTC,Bitcoin,EUR,Euro,18845.77530500,2020-12-21 23:30:01,UTC,18845.76714000,18845.77530500
BTC,Bitcoin,EUR,Euro,18710.08933500,2020-12-21 23:35:08,UTC,18705.95784500,18710.08933500
BTC,Bitcoin,EUR,Euro,18756.93802400,2020-12-21 23:40:04,UTC,18756.93802400,18756.94619200
BTC,Bitcoin,EUR,Euro,18693.42179900,2020-12-21 23:45:04,UTC,18686.51251700,18692.60509900
BTC,Bitcoin,EUR,Euro,18651.35836000,2020-12-21 23:50:01,UTC,18651.35836000,18651.36653000
BTC,Bitcoin,EUR,Euro,18664.50893600,2020-12-21 23:55:03,UTC,18664.50076800,18664.95000800
BTC,Bitcoin,EUR,Euro,18568.34419900,2020-12-22 00:00:03,UTC,18565.81936000,18568.34419900
BTC,Bitcoin,EUR,Euro,18596.64681000,2020-12-22 00:05:05,UTC,18596.64681000,18601.92398400
BTC,Bitcoin,EUR,Euro,18679.50523100,2020-12-22 00:10:01,UTC,18678.87637200,18678.88453900
BTC,Bitcoin,EUR,Euro,18636.08589600,2020-12-22 00:15:02,UTC,18636.07773000,18636.08589600
BTC,Bitcoin,EUR,Euro,18688.88725200,2020-12-22 00:20:06,UTC,18687.07440000,18688.87908600
BTC,Bitcoin,EUR,Euro,18692.47734900,2020-12-22 00:25:03,UTC,18692.46918000,18692.47734900
BTC,Bitcoin,EUR,Euro,18697.56788000,2020-12-22 00:30:01,UTC,18697.55971000,18697.56788000
BTC,Bitcoin,EUR,Euro,18619.11137000,2020-12-22 00:35:05,UTC,18619.04601000,18619.05418000
BTC,Bitcoin,EUR,Euro,18524.64569100,2020-12-22 00:40:03,UTC,18523.68151300,18523.80407800
BTC,Bitcoin,EUR,Euro,18500.07596400,2020-12-22 00:45:03,UTC,18500.06779200,18500.07596400
BTC,Bitcoin,EUR,Euro,18487.32600000,2020-12-22 00:50:01,UTC,18487.52215200,18487.53032500
BTC,Bitcoin,EUR,Euro,18551.78396600,2020-12-22 00:55:02,UTC,18553.13267600,18553.75390000
BTC,Bitcoin,EUR,Euro,18452.05950500,2020-12-22 01:00:03,UTC,18451.92056400,18451.92873700
